KPI_ID,Category,KPI_Name,Description,Measurement_Method,Target_Value,Threshold_Warning,Threshold_Critical,Frequency,Owner,Reporting,Data_Source
ASI-KPI-025,Performance,System_Availability,Percentage uptime for ASI services,Uptime / total time,> 99.5%,< 99.0%,< 98.0%,Real-time,SRE Team,TSC (monthly),Infrastructure monitor
ASI-KPI-026,Performance,Evidence_Generation_Time,Mean time to generate complete evidence package,Seconds per recommendation,< 30 sec,> 60 sec,> 120 sec,Real-time,ML Engineering,TSC (monthly),Evidence pipeline metrics
ASI-KPI-027,Supply_Chain,SLSA_Level_Compliance,Percentage of artifacts meeting SLSA Level 3 requirements,SLSA L3 artifacts / total artifacts,> 95%,< 90%,< 85%,Per build,DevSecOps,TSC (monthly),SLSA verification tool
ASI-KPI-028,Supply_Chain,SBOM_Coverage,Percentage of deployed components with valid SPDX/CycloneDX SBOMs,Components with SBOM / total components,100%,< 99%,< 95%,Per deployment,DevSecOps,TSC (monthly),SBOM generation pipeline
ASI-KPI-029,Supply_Chain,Vulnerability_Response_Time,Mean time to patch critical vulnerabilities (CVE CVSS >= 9.0),Hours from disclosure to deployment,< 24 hours,> 48 hours,> 72 hours,Per vulnerability,Security Team,TSC (monthly),Vulnerability tracking system
ASI-KPI-030,Supply_Chain,Dependency_Risk_Score,Aggregate risk score of third-party dependencies,Weighted score based on CVEs and maintenance,"< 50 (low risk)",> 75 (medium),> 90 (high),Weekly,DevSecOps,TSC (monthly),Dependency scanner
ASI-KPI-031,Provenance,C2PA_Seal_Coverage,Percentage of generated media/datasets with C2PA cryptographic seals,Sealed artifacts / total media artifacts,> 95%,< 90%,< 85%,Daily,Data Governance,Independent Panel (quarterly),C2PA validation tool
ASI-KPI-032,Provenance,Content_Attribution_Accuracy,Percentage of generated content correctly attributed to ASI,Correct attributions / total generated,100%,< 99%,< 95%,Weekly,Data Governance,Independent Panel (quarterly),Content audit
ASI-KPI-033,Operational,User_Satisfaction_Score,Aggregate user satisfaction score from surveys,"Score (1-5 scale, quarterly survey)",> 4.0,< 3.5,< 3.0,Quarterly,Product Management,EU-US Council (quarterly),User surveys
ASI-KPI-034,Operational,Expert_Agreement_Rate,Percentage agreement between ASI recommendations and human expert consensus,Agreements / total expert-reviewed cases,> 85%,< 80%,< 75%,Quarterly,Domain Leads,Independent Panel (quarterly),Expert review panel
ASI-KPI-035,Operational,Knowledge_Gap_Identification,Percentage of queries where ASI correctly identifies knowledge gaps,Correct gap flags / (gaps + missed gaps),> 90%,< 85%,< 80%,Quarterly,ML Engineering,TSC (monthly),Expert gap validation
ASI-KPI-036,Operational,Training_Completion_Rate,Percentage of ASI operators completing mandatory training,Completed training / required operators,100%,< 95%,< 90%,Quarterly,Training Manager,TSC (monthly),Learning management system
ASI-KPI-037,Governance,Council_Meeting_Frequency,Number of EU-US Council meetings per quarter,Count of meetings,>= 1,< 1,N/A,Quarterly,Council Chair,EU-US Council (quarterly),Meeting minutes
ASI-KPI-038,Governance,TSC_Decision_Cycle_Time,Mean time from TSC proposal to decision,Calendar days,< 30 days,> 45 days,> 60 days,Per decision,TSC Chair,EU-US Council (quarterly),Decision tracking system
ASI-KPI-039,Governance,External_Audit_Completion,Number of independent external audits completed per year,Count of audits,>= 1,0,N/A,Annual,Assurance Lead,EU-US Council (quarterly),Audit reports
ASI-KPI-040,Governance,Red_Team_Finding_Resolution,Percentage of red-team findings resolved within SLA,Resolved within SLA / total findings,> 90%,< 85%,< 80%,Monthly,Security Team,Independent Panel (quarterly),Finding tracking system
